Game,Date,Competition,Home team,Result,Away team,Lineup,Minutes,Goals,Assists,Cards,Jersey
1021,15-04-2023,Ligue 1,Paris Saint-Germain,3-1,RC Lens,Starter,90,1,0,0,30
1020,08-04-2023,Ligue 1,OGC Nice,0-2,Paris Saint-Germain,Starter,90,1,1,0,30
1019,02-04-2023,Ligue 1,Paris Saint-Germain,0-1,Olympique Lyonnais,Starter,90,0,0,0,30
1018,28-03-2023,International friendly,Argentina,7-0,Curaçao,Starter,90,3,1,0,10
1017,24-03-2023,International friendly,Argentina,2-0,Panama,Starter,90,1,0,0,10
1016,19-03-2023,Ligue 1,Paris Saint-Germain,0-2,Stade Rennais FC,Starter,90,0,0,0,30
1015,11-03-2023,Ligue 1,Stade Brestois 29,1-2,Paris Saint-Germain,Starter,90,0,1,0,30
1014,08-03-2023,UEFA Champions League,Bayern München,2-0,Paris Saint-Germain,Starter,90,0,0,0,30
1013,04-03-2023,Ligue 1,Paris Saint-Germain,4-2,FC Nantes,Starter,90,1,0,0,30
1012,26-02-2023,Ligue 1,Olympique Marseille,0-3,Paris Saint-Germain,Starter,90,1,2,0,30
1011,19-02-2023,Ligue 1,Paris Saint-Germain,4-3,Lille OSC,Starter,90,1,0,0,30
1010,15-02-2023,UEFA Champions League,Paris Saint-Germain,0-1,Bayern München,Starter,90,0,0,0,30
1009,08-02-2023,Coupe de France,Olympique Marseille,2-1,Paris Saint-Germain,Starter,90,0,0,0,30
1008,04-02-2023,Ligue 1,Paris Saint-Germain,2-1,Toulouse FC,Starter,90,1,0,0,30
1007,01-02-2023,Ligue 1,Montpellier Hérault SC,1-3,Paris Saint-Germain,Starter,90,1,0,0,30
1006,29-01-2023,Ligue 1,Paris Saint-Germain,1-1,Stade de Reims,Starter,90,0,0,0,30
1005,15-01-2023,Ligue 1,Stade Rennais FC,1-0,Paris Saint-Germain,Starter,90,0,0,0,30
1004,11-01-2023,Ligue 1,Paris Saint-Germain,2-0,Angers SCO,Starter,90,1,0,0,30
1003,18-12-2022,World Cup 2022,Argentina,3-3,France,Starter,120,2,0,0,10
1002,13-12-2022,World Cup 2022,Argentina,3-0,Croatia,Starter,90,1,1,0,10
1001,09-12-2022,World Cup 2022,Netherlands,2-2,Argentina,Starter,120,1,1,1,10
1000,03-12-2022,World Cup 2022,Argentina,2-1,Australia,Starter,90,1,0,0,10
999,30-11-2022,World Cup 2022,Poland,0-2,Argentina,Starter,90,0,0,0,10
998,26-11-2022,World Cup 2022,Argentina,2-0,Mexico,Starter,90,1,1,0,10
997,22-11-2022,World Cup 2022,Argentina,1-2,Saudi Arabia,Starter,90,1,0,0,10
996,16-11-2022,International friendly,United Arab Emirates,0-5,Argentina,Starter,90,1,1,0,10
995,13-11-2022,Ligue 1,Paris Saint-Germain,5-0,AJ Auxerre,Starter,74,0,0,0,30
994,02-11-2022,UEFA Champions League,Juventus,1-2,Paris Saint-Germain,Starter,90,0,1,0,30
993,29-10-2022,Ligue 1,Paris Saint-Germain,4-3,ES Troyes AC,Starter,90,1,1,0,30
992,25-10-2022,UEFA Champions League,Paris Saint-Germain,7-2,Maccabi Haifa,Starter,90,2,2,0,30
991,21-10-2022,Ligue 1,AC Ajaccio,0-3,Paris Saint-Germain,Starter,90,1,2,0,30
990,16-10-2022,Ligue 1,Paris Saint-Germain,1-0,Olympique Marseille,Starter,78,0,0,0,30
989,05-10-2022,UEFA Champions League,Benfica,1-1,Paris Saint-Germain,Starter,80,1,0,0,30
